epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,8935.21,1.50327,1.51748,1.711,0.92037,0.82557,0.92165,0.55073,1.37125,0.86193,1.6751,0.004522,0.004522,0.004522
168,8988.87,1.50401,1.52999,1.71042,0.92047,0.82677,0.92182,0.55116,1.37112,0.86023,1.67496,0.004489,0.004489,0.004489
169,9042.35,1.50534,1.52524,1.70243,0.92047,0.8267,0.92165,0.55165,1.37183,0.85878,1.67545,0.004456,0.004456,0.004456
170,9095.85,1.50136,1.52536,1.70533,0.92049,0.82696,0.92194,0.55341,1.37128,0.85597,1.67476,0.004423,0.004423,0.004423
171,9149.45,1.50288,1.51882,1.69895,0.92044,0.82637,0.92205,0.55391,1.37191,0.85495,1.6749,0.00439,0.00439,0.00439
172,9203.14,1.4902,1.50472,1.6946,0.92039,0.82581,0.92216,0.55368,1.37286,0.85333,1.67544,0.004357,0.004357,0.004357
173,9256.44,1.50108,1.51318,1.7014,0.92046,0.8266,0.92273,0.55492,1.37289,0.85153,1.6751,0.004324,0.004324,0.004324
174,9309.79,1.49068,1.50577,1.69536,0.92077,0.83011,0.92341,0.55727,1.37339,0.84957,1.67491,0.004291,0.004291,0.004291
175,9363.09,1.4976,1.51875,1.69534,0.92062,0.82844,0.92305,0.55342,1.37367,0.84662,1.67629,0.004258,0.004258,0.004258
176,9416.43,1.48768,1.50629,1.70212,0.92052,0.82736,0.92369,0.55175,1.37337,0.84624,1.67457,0.004225,0.004225,0.004225
177,9470.31,1.49602,1.50158,1.69961,0.92102,0.82143,0.9244,0.55336,1.37274,0.84482,1.67342,0.004192,0.004192,0.004192
178,9523.83,1.49353,1.50526,1.69647,0.92145,0.82143,0.9248,0.55128,1.37382,0.84149,1.67532,0.004159,0.004159,0.004159
179,9577.13,1.48976,1.50546,1.69625,0.93329,0.8327,0.92497,0.54967,1.37302,0.84075,1.67249,0.004126,0.004126,0.004126
180,9630.63,1.49123,1.49547,1.6992,0.92126,0.83569,0.92496,0.55001,1.3726,0.83914,1.6716,0.004093,0.004093,0.004093
181,9684.03,1.48496,1.48578,1.68827,0.92124,0.83549,0.92471,0.54979,1.3739,0.83826,1.67177,0.00406,0.00406,0.00406
182,9737.44,1.48775,1.4859,1.69395,0.92121,0.83515,0.92448,0.55075,1.37289,0.83737,1.67068,0.004027,0.004027,0.004027
183,9790.84,1.48292,1.49427,1.6882,0.92131,0.83634,0.9245,0.55075,1.37365,0.83587,1.67051,0.003994,0.003994,0.003994
184,9844.32,1.48484,1.48889,1.68741,0.92157,0.83934,0.92423,0.55239,1.37321,0.83577,1.67031,0.003961,0.003961,0.003961
185,9897.5,1.48503,1.48012,1.68277,0.92173,0.84524,0.92467,0.55268,1.37343,0.83258,1.66982,0.003928,0.003928,0.003928
186,9951.1,1.47736,1.47691,1.67987,0.92173,0.84524,0.92461,0.55256,1.37443,0.83114,1.66999,0.003895,0.003895,0.003895
187,10004.4,1.48438,1.48401,1.67955,0.92267,0.84524,0.92456,0.5526,1.37413,0.83155,1.66949,0.003862,0.003862,0.003862
188,10057.8,1.4748,1.4729,1.68273,0.92454,0.84524,0.92414,0.55239,1.37407,0.82934,1.66923,0.003829,0.003829,0.003829
